player_name,position,age,current_club,interested_club,contract_expiry_date,market_value,last_updated,probability,loaded_at
Kjell Peersman,Goalkeeper,21,PSV U21,KAA Gent,"Jun 30, 2025",€500k,28.05.2025 - 12:28,0,2025-05-30 11:21:20
Axel Witsel,Centre-Back,36,Atlético Madrid,Standard Liège,"Jun 30, 2025",€2.50m,28.05.2025 - 12:27,0,2025-05-30 11:21:20
Ardon Jashari,Defensive Midfield,22,Club Brugge,Bor. Dortmund,"Jun 30, 2029",€25.00m,28.05.2025 - 12:24,0,2025-05-30 11:21:20
Zoumana Keita,Centre-Back,19,Viktoria Köln,RSC Anderlecht,"Jun 30, 2027",€150k,28.05.2025 - 12:23,0,2025-05-30 11:21:20
Nadir Zortea,Right Midfield,25,Cagliari,Fiorentina,"Jun 30, 2028",€4.50m,28.05.2025 - 11:58,0,2025-05-30 11:21:20
Nadir Zortea,Right Midfield,25,Cagliari,Napoli,"Jun 30, 2028",€4.50m,28.05.2025 - 11:58,0,2025-05-30 11:21:20
Miguel Gutiérrez,Left-Back,23,Girona,Atlético Madrid,"Jun 30, 2027",€25.00m,28.05.2025 - 11:56,0,2025-05-30 11:21:20
Miguel Gutiérrez,Left-Back,23,Girona,Napoli,"Jun 30, 2027",€25.00m,28.05.2025 - 11:56,0,2025-05-30 11:21:20
Miguel Gutiérrez,Left-Back,23,Girona,Juventus,"Jun 30, 2027",€25.00m,28.05.2025 - 11:55,0,2025-05-30 11:21:20
Miguel Gutiérrez,Left-Back,23,Girona,AC Milan,"Jun 30, 2027",€25.00m,28.05.2025 - 11:55,0,2025-05-30 11:21:20
Georgiy Sudakov,Attacking Midfield,22,Shakhtar D.,Benfica,"Dec 31, 2028",€32.00m,28.05.2025 - 11:53,98,2025-05-30 11:21:20
Georgiy Sudakov,Attacking Midfield,22,Shakhtar D.,FC Porto,"Dec 31, 2028",€32.00m,28.05.2025 - 11:53,60,2025-05-30 11:21:20
Georgiy Sudakov,Attacking Midfield,22,Shakhtar D.,Brentford,"Dec 31, 2028",€32.00m,28.05.2025 - 11:52,53,2025-05-30 11:21:20
Georgiy Sudakov,Attacking Midfield,22,Shakhtar D.,West Ham,"Dec 31, 2028",€32.00m,28.05.2025 - 11:52,55,2025-05-30 11:21:20
Georgiy Sudakov,Attacking Midfield,22,Shakhtar D.,Bournemouth,"Dec 31, 2028",€32.00m,28.05.2025 - 11:51,98,2025-05-30 11:21:20
Georgiy Sudakov,Attacking Midfield,22,Shakhtar D.,Bournemouth,"Dec 31, 2028",€32.00m,28.05.2025 - 11:51,0,2025-05-30 11:21:20
Georgiy Sudakov,Attacking Midfield,22,Shakhtar D.,Juventus,"Dec 31, 2028",€32.00m,28.05.2025 - 11:51,47,2025-05-30 11:21:20
Georgiy Sudakov,Attacking Midfield,22,Shakhtar D.,Napoli,"Dec 31, 2028",€32.00m,28.05.2025 - 11:49,88,2025-05-30 11:21:20
Victor Osimhen,Centre-Forward,26,Napoli,Al-Hilal,"Jun 30, 2025",€70.00m,28.05.2025 - 11:46,87,2025-05-30 11:21:20
Marino Hinestroza,Right Winger,22,Atl. Nacional,Boca Juniors,"Dec 31, 2027",€4.00m,28.05.2025 - 11:45,0,2025-05-30 11:21:20
Yuri Alberto,Centre-Forward,24,Corinthians,Fulham,"Dec 31, 2027",€16.00m,28.05.2025 - 11:44,0,2025-05-30 11:21:20
Yuri Alberto,Centre-Forward,24,Corinthians,Wolves,"Dec 31, 2027",€16.00m,28.05.2025 - 11:44,0,2025-05-30 11:21:20
Yuri Alberto,Centre-Forward,24,Corinthians,West Ham,"Dec 31, 2027",€16.00m,28.05.2025 - 11:43,0,2025-05-30 11:21:20
Yuri Alberto,Centre-Forward,24,Corinthians,Forest,"Dec 31, 2027",€16.00m,28.05.2025 - 11:43,0,2025-05-30 11:21:20
Rayan Cherki,Right Winger,21,Olympique Lyon,Bor. Dortmund,"Jun 30, 2026",€35.00m,28.05.2025 - 11:40,45,2025-05-30 11:21:20
Rayan Cherki,Right Winger,21,Olympique Lyon,Man Utd,"Jun 30, 2026",€35.00m,28.05.2025 - 11:40,50,2025-05-30 11:21:20
Rayan Cherki,Right Winger,21,Olympique Lyon,Chelsea,"Jun 30, 2026",€35.00m,28.05.2025 - 11:40,48,2025-05-30 11:21:20
Nayef Aguerd,Centre-Back,29,West Ham,Real Sociedad,"Jun 30, 2025",€25.00m,28.05.2025 - 11:37,0,2025-05-30 11:21:20
Diego Moreira,Left Midfield,20,R. Strasbourg,Juventus,"Jun 30, 2029",€10.00m,28.05.2025 - 11:36,0,2025-05-30 11:21:20
Zepiqueno Redmond,Centre-Forward,18,Feyenoord U21,Aston Villa,"Jun 30, 2025",€800k,28.05.2025 - 11:35,75,2025-05-30 11:21:20
Jorginho,Defensive Midfield,33,Arsenal,Flamengo,"Jun 30, 2025",€8.00m,28.05.2025 - 10:52,95,2025-05-30 11:21:20
Florian Wirtz,Attacking Midfield,22,B. Leverkusen,Liverpool,"Jun 30, 2027",€140.00m,28.05.2025 - 10:50,83,2025-05-30 11:21:20
Valentin Costache,Left Winger,26,UTA Arad,FC Hermannstadt,"Jun 30, 2025",€650k,28.05.2025 - 10:50,0,2025-05-30 11:21:20
Amin Sarr,Centre-Forward,24,Olympique Lyon,Hellas Verona,"Jun 30, 2025",€4.00m,28.05.2025 - 10:49,0,2025-05-30 11:21:20
Florin Ștefan,Left-Back,29,Sepsi OSK,FC Hermannstadt,"Jun 30, 2027",€900k,28.05.2025 - 10:49,0,2025-05-30 11:21:20
Alexandru Crețu,Defensive Midfield,33,Al-Wehda,CFR Cluj,"Jun 30, 2026",€600k,28.05.2025 - 09:35,0,2025-05-30 11:21:20
Alexandru Crețu,Defensive Midfield,33,Al-Wehda,FC Rapid,"Jun 30, 2026",€600k,28.05.2025 - 09:34,0,2025-05-30 11:21:20
Tony Strata,Right-Back,20,AC Ajaccio,FC Dinamo,"Jun 30, 2027",€350k,28.05.2025 - 09:29,0,2025-05-30 11:21:20
David Maftei,Right-Back,20,FCV Farul,FC Dinamo,-,€500k,28.05.2025 - 09:27,0,2025-05-30 11:21:20
Andrei Dorobanțu,Right-Back,20,Unirea Slobozia,FCV Farul,-,€200k,28.05.2025 - 09:25,0,2025-05-30 11:21:20
Bernardo Silva,Attacking Midfield,30,Man City,Galatasaray,"Jun 30, 2026",€45.00m,28.05.2025 - 09:01,67,2025-05-30 11:21:20
Aliou Badji,Centre-Forward,27,Red Star FC,AS FAR Rabat,"Jun 30, 2025",€900k,28.05.2025 - 04:16,68,2025-05-30 11:21:20
Eli Adams,Right Winger,23,Newcastle,Austria Vienna,"Jun 30, 2027",€250k,28.05.2025 - 03:58,0,2025-05-30 11:21:20
Eli Adams,Right Winger,23,Newcastle,MK Dons,"Jun 30, 2027",€250k,28.05.2025 - 03:57,0,2025-05-30 11:21:20
